"ID","Collection","ENS","Minting Date","Tx Count","Power"
"3689","0x7ff8b020c2ecd40613063ae1d2ee6a2a383793fa","","9/6/2019","1","118"
"3690","0x624ec4a3ffa86bcef4d06706034d1fddbc9f56b4","","9/6/2019","1","16"
"3765","0x8584e54df79d9ea3216195ce034977968f01457c","","9/6/2019","1","6"
"3958","0x1b4963e08ca54a9cbdddab11f81f866a3903fece","","9/8/2019","1","1"
"4592","0x88f4a2cf89c353af174d3a9e02da7acbbbf436a4","","10/9/2019","1","25"
"5236","0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1","","11/8/2019","1","20"
"5254","0x8d6e448b0cf0ec09e3b812a7714ba52354a0cf33","","11/8/2019","1","13"
"6131","0xf26478c6942c5863654f416aea73ab26ee1a630b","","2/14/2020","1","2"
"8171","0xac4361f56c82ed59d533d45129f407015d84702a","","4/18/2020","1","104"
"261731","0x2fe31e981032bfcd71cce70a4ab5e4214f8b4860","","5/23/2021","1","19"
