"rank","address","partiscore_absolute","partiscore_percentile","number_of_daos","number_of_proposals","number_of_votes"
49.0,"26SUM8AN5MKefKCFiPDapUcQwHNfNzWYMyfUSVcqiFV2JYWc",59.50628580094667,99.99895640807836,2.0,93.0,129.0
50.0,"23RDJ7SyVgpKqC6M9ad8wvbBsbSr3R4Xqr5NQAKEhWPHbLbs",59.41556148531957,99.99893466657998,3.0,83.0,165.0
51.0,"0xd5afefca262b4bb811056f036dc803cdf639494f",59.276606294807344,99.99891292508161,1.0,134.0,1.0
52.0,"0x70ddb5abf21202602b57f4860ee1262a594a0086",59.06247227749433,99.99889118358325,46.0,0.0,551.0
53.0,"0x1a7fc76f1ac7fecb71256a79482dd5ad879f293a",58.81872684761463,99.9988694420849,5.0,132.0,123.0
54.0,"0x9ba6baa919bac9acd901df3bfde848fe006d3cae",57.294129347936384,99.99884770058652,45.0,0.0,540.0
55.0,"0x344b1e4ac175f16d3ba40a688ca928e3768e275a",55.84787914657097,99.99882595908815,41.0,0.0,523.0
56.0,"0x8eef779818afa953b0652e45438423ebe089f55a",55.10687993320923,99.9988042175898,21.0,17.0,532.0
57.0,"0xdce62b21a8b1a9b39dd3ded27c876d416cc91b3e",54.89561533336369,99.99878247609142,32.0,0.0,716.0
58.0,"0xef8305e140ac520225daf050e2f71d5fbcc543e7",54.88088903546504,99.99876073459305,37.0,136.0,156.0
59.0,"0x183bdb344a07ee3d27f07ac4799a56e4a2fe5439",54.784700866262234,99.99873899309468,52.0,1.0,512.0
60.0,"0x48b576c87e788a762d6f95a456f2a39113b46950",54.38968036619103,99.99871725159632,45.0,0.0,595.0
61.0,"0xbda0136ea391e24a938793972726f8763150c7c3",54.353253079296785,99.99869551009795,38.0,0.0,515.0
62.0,"0x0ff9b6ab6ec58ceb6d5ae8a1690dd5a0959ad002",53.22190700486119,99.99867376859957,36.0,0.0,501.0
63.0,"0x0cb3e38741ed54fde0b7b7e1c93dcd28a4a6f15c",53.10304350194993,99.99865202710122,1.0,106.0,126.0
64.0,"0x21dbf2e0a5f377f7098439b64fb5a67a5d18af45",51.771772904990826,99.99863028560284,3.0,94.0,403.0
65.0,"0x128e5625e15fdba91d6ccb1abdfdc62b5d152b4f",51.276473048619245,99.99860854410447,33.0,0.0,640.0
66.0,"0x1f1c29c94abe2b8f06b403cc5a61c479167ebc3d",51.100194045174405,99.99858680260611,5.0,183.0,185.0
67.0,"0xc97370f22ed5ac4c7b24a8e1ca9d81febb3b9457",50.969849424555775,99.99856506110774,33.0,0.0,475.0
68.0,"0xb44ac514588be99870220d12120815bc3d349507",50.55667731879827,99.99854331960938,15.0,2.0,430.0
69.0,"0x45208c10e922d932c0a638e7d8e92307fc73b40b",50.38970373502223,99.99852157811101,37.0,0.0,554.0
70.0,"0x48fae920b92b9408f88619ff5c217ecebaf563b8",50.23405524833173,99.99849983661264,10.0,0.0,454.0
71.0,"0x707d306714ff28560f32bf9dae973bd33cd851c5",49.88834957029517,99.99847809511428,31.0,0.0,466.0
72.0,"0x16ce1b15ed1278921d7cae34bf60a81227cfc295",49.60184824132247,99.99845635361591,34.0,0.0,566.0
73.0,"0x2d5823e8e8b4dfbf599a97566ff2a121cc141d60",49.594926787190964,99.99843461211753,31.0,0.0,462.0
74.0,"0xad95a5fe898679b927c266eb2edfabc7fe268c27",49.578139962155156,99.99841287061916,3.0,137.0,1.0
75.0,"0x1b5b4fcedf1252cd92496a2fd5c593b39ac49b01",48.864232451620346,99.9983911291208,32.0,0.0,454.0
76.0,"0xc1da4cb564110e85399d4e8e311a818ff885c18c",48.54442843094188,99.99836938762243,1.0,204.0,1.0
77.0,"0xcd790d0813bef3add5ddc1ae5589d3a9b526cadf",48.40735234799276,99.99834764612406,36.0,4.0,309.0
78.0,"0x7a3bdee62dd34fac317ae61cd8b3ba7c27ada145",47.83285246724907,99.9983259046257,30.0,0.0,435.0
79.0,"0x76ac6ad4e4e7c2e0b4ceeb30745bd53df3a85774",47.79666285762237,99.99830416312733,29.0,0.0,439.0
80.0,"0x121ac669e4c99ef4673b22d57431b3a521292f2c",47.658755927533136,99.99828242162896,26.0,0.0,463.0
81.0,"6cGTLr9bTCYis6KjsuZPQS7LrcPjyjibr9gFk2JH65Mn",47.63274813784446,99.9982606801306,1.0,0.0,376.0
