"ID","Collection","ENS","Minting Date","Tx Count","Power"
"5025","0x7ff8b020c2ecd40613063ae1d2ee6a2a383793fa","brunitob.eth","Thu 09 Mar 2023 18:54:26 GMT","1","428"
"5026","0xf690c888773b33eaf56a399467c56813f3d03885","","Thu 09 Mar 2023 18:54:26 GMT","1","4"
"5027","0xe17f732e2add64790d3374aa92abe7720367588c","","Thu 09 Mar 2023 18:54:26 GMT","1","3"
"5039","0xbaaea72417f4dc3e0f52a1783b0913d0f3516634","eylon.eth","Thu 09 Mar 2023 18:54:26 GMT","1","69"
"5040","0x4cc9c92dacd2e6e3ef1956dee5aa4275aa8c9b47","","Thu 09 Mar 2023 18:54:26 GMT","1","19"
"5050","0x983110309620d911731ac0932219af06091b6744","brantly.eth","Thu 09 Mar 2023 18:54:26 GMT","2","504"
"5070","0xf6b6f07862a02c85628b3a9688beae07fea9c863","poap.eth","Thu 09 Mar 2023 18:54:26 GMT","1","1483"
"5076","0x2388c11d0532ce92a99d16d1980cc5980cf575c3","ejwessel.eth","Thu 09 Mar 2023 18:54:26 GMT","2","24"
"5128","0x2806c443cfd1e492323de4ebb6404689231ca506","charlesstlouis.eth","Thu 09 Mar 2023 18:54:26 GMT","1","16"
"5130","0x99ae5b97f46a3985f631f814b5645eb20d8eb70c","","Thu 09 Mar 2023 18:54:26 GMT","1","1"
"5145","0x02c5f4dd08ea9ba528da4276b94bfc3e10bf5f32","jiminycrick.eth","Thu 09 Mar 2023 18:54:26 GMT","1","1"
"5203","0x9d8e4e3748da101c664bbb5375ffd90683a27509","","Thu 09 Mar 2023 18:54:26 GMT","1","83"
"5205","0xea037a669d7616c221b3719155a9856088316e65","gabriellemic.argent.xyz","Thu 09 Mar 2023 18:54:26 GMT","1","37"
"5208","0xdcad1a53ea34668585bf488e6046caed139a3e47","","Thu 09 Mar 2023 18:54:26 GMT","1","2"
"5209","0x7d678b9218ac289e0c9f18c82f546c988bfe3022","","Thu 09 Mar 2023 18:54:26 GMT","1","24"
"5217","0x2fc01ff5abb40a0081185f05560c18bc04faf030","","Thu 09 Mar 2023 18:54:26 GMT","1","8"
"5223","0x4f0a1940de411285ad0455a7f40c81b5e0bc8492","jujuba.eth","Thu 09 Mar 2023 18:54:26 GMT","2","52"
